topic_title,categories,is_pm,post,like_count,reply_count,url,created_at
kevingilds: For kids: Adventures...,Start here|Meet your cohort,No,"For kids: Adventures of Huckleberry Finn: Learn to see the world from many perspectives and learn empathy.
For adults: Lila An Inquiry Into Morals: Provides a framework for understanding life and change. 
For people at work: The War of Art:  This book taught me how to work.",1,0,https://fr3.akimbo.com/t/kevingilds-for-kids-adventures/25832/1,2020-03-30T20:56:58.660Z
kevingilds: For kids: Adventures...,Start here|Meet your cohort,No,"Thank you for the welcome @traviswilson . Good question, Finn and Lilla are about trying to understand people and society.",1,0,https://fr3.akimbo.com/t/kevingilds-for-kids-adventures/25832/3,2020-03-31T01:21:54.983Z
Welcome to Homeroom 5,Homerooms|Homeroom 5,No,"Hello! My name is Kevin Gilds residing in Lakeland, Florida--between Tampa and Orlando. I am here to learn how to take the next steps. I fell into my first freelancing gig and would love to do more.",4,0,https://fr3.akimbo.com/t/welcome-to-homeroom-5/25817/7,2020-03-31T20:37:27.858Z
WFH and small kids,Warm-up: Type and tag,No,"Hi Razlan,

I try to get the tough stuff done early while they are still asleep. We are fortunate that we have the flexibility to alternate care giving duties. The kids are also of the age where they are able to play together most of the time well enough. 

Hang in there!",2,1,https://fr3.akimbo.com/t/wfh-and-small-kids/25949/6,2020-03-31T21:12:07.467Z
suellenmccrary: Deep Work...,Start here|Meet your cohort,No,This is a great one; I let my former boss read and has not returned yet.... :upside_down_face:,0,0,https://fr3.akimbo.com/t/suellenmccrary-deep-work/26246/3,2020-03-31T23:53:03.440Z
Rework & Signal vs Noise,Resource recommendations,No,"I am a huge fan of this podcast and blogging platform

It is from the creators of Basecamp.

The podcast:
https://rework.fm/

The blogging/article platform
https://m.signalvnoise.com/",3,0,https://fr3.akimbo.com/t/rework-signal-vs-noise/26470/1,2020-04-01T20:31:17.820Z
Rework & Signal vs Noise,Resource recommendations,No,They seem authentic to me and I like their opinionated  approach to business. I love how they share their process. They even have their personnel manual online.,2,0,https://fr3.akimbo.com/t/rework-signal-vs-noise/26470/5,2020-04-05T15:45:28.905Z
Social service data,Lesson 0: Questions worth answering,No,"I provide evaluation services for a local Girl Scout Council. I was previously employed with them and my position was eliminated. They needed an independent evaluation consultant for a mentoring program. I got more work evaluation work by sharing with them the dashboard I built to keep track of data entry. I help them with processing their data and help them make decisions with it. 
Hey @oleg --we come across again! 

I do this work part-time. I have increased my skill and improved my craft doing this work and ultimately it has helped me craft the work I do at my full time time job.  

My issue is that the others doing this work seem distant and far off. I am certain that I am cheaper than the alternatives.  I justify my cheaper price that I learn a ton and keep figuring out to do things better. I keep telling myself the next client will not get a discount.",2,0,https://fr3.akimbo.com/t/social-service-data/27115/1,2020-04-07T01:17:44.052Z
Is this the bottom or do I keep digging?,Lesson 1. Avoiding the race to the bottom,No,"Hi @quinngreenhaus! I think you should keep digging if you are improving your craft. The joy is in the playing.  I keep this as my wallpaper on my work computer.  

<img src=""https://pbs.twimg.com/media/Db4aO86V4AAwc64?format=jpg&amp;name=small"" alt=""View image on Twitter""/>",2,1,https://fr3.akimbo.com/t/is-this-the-bottom-or-do-i-keep-digging/27558/2,2020-04-07T21:32:07.997Z
Using Synergy As A Way To Differentiate,Lesson 1. Avoiding the race to the bottom,No,"Hey @oleg, I love this!  My experience has been that often times people/organizations just don't know what they don't know and it  can be challenging to sell them on an idea from the outside. 

I have had better luck when I am inside the organization to make the changes in design and approach. So yes synergy is important but how to get there is the question. 

How to open the door for synergy to happen. My approach will be through educational content and learning to ask better questions of potential clients.    

What do think? Does my ramble resonate or make sense?",2,1,https://fr3.akimbo.com/t/using-synergy-as-a-way-to-differentiate/27432/6,2020-04-07T21:59:30.345Z
Data Science--R-TidyTuesday,Resource recommendations,No,"Want to learn how to make amazing data visulazations with R.

Tonight there is a live screencast of David Robinson-the guy who analyzed Trump's tweet riffing on data and making visualizations.

<blockquote class=""twitter-tweet""><p lang=""en"" dir=""ltr"">Tonight (Tuesday) from 9-10 PM ET, I&#39;ll be LIVE STREAMING an analysis of today&#39;s <a href=""https://twitter.com/hashtag/tidytuesday?src=hash&amp;ref_src=twsrc%5Etfw"">#tidytuesday</a> dataset, on the Tour de France. Join the screencast to comment and help me out!<br><br>Live streaming is an experiment, let&#39;s see how it goes!<a href=""https://t.co/B0A0wRrNOV"">https://t.co/B0A0wRrNOV</a> <a href=""https://twitter.com/hashtag/rstats?src=hash&amp;ref_src=twsrc%5Etfw"">#rstats</a></p>&mdash; David Robinson (@drob) <a href=""https://twitter.com/drob/status/1247599931478679555?ref_src=twsrc%5Etfw"">April 7, 2020</a></blockquote> <script async src=""https://platform.twitter.com/widgets.js"" charset=""utf-8""></script>

@oleg may be interested",4,1,https://fr3.akimbo.com/t/data-science-r-tidytuesday/27606/1,2020-04-07T23:25:58.811Z
"It's all about education, trust and mastering the consulting process",Lesson 1. Avoiding the race to the bottom,No,"Thank you, @ericlheureux this is very insightful. 

[quote=""ericlheureux, post:1, topic:28073""]
I have to educate prospective clients versus the value of the services.
[/quote]",1,0,https://fr3.akimbo.com/t/its-all-about-education-trust-and-mastering-the-consulting-process/28073/2,2020-04-08T23:25:10.597Z
Craftsmanship--going deeper,Lesson 1. Avoiding the race to the bottom,No,"## Part 1:

The cheaper option is someone who just meets specs and does not seek to understand or go deeper into the work. They are cheaper because they are doing the bare minimum to get to the next gig. Maybe a task is simple and you don't need someone to go deeper in mowing the lawn.  However, even with mowing the lawn; you can tell when someone cares about the job they are doing.  Customers do not go out of their way to discuss their work when someone is just meeting spec. 

## Part 2: 

### Are you the same?
I am not the same-I work with clients to give them insights into their data and focus on how  program staff can focus on serving people and ***use data not fight it.*** .

### What am I doing not to be seen as cheaper?

I step out of the box frequently. Rather than sending a report in Word, I will send the report as a html document that is interactive. I will make interactive dashboards that can update reports based on site locations or grants. I do wonder if working at a full-time job may  make me seem as cheap alternative--I don't have any other clients?  I think my work is valued but not sure they know the skill that goes into the craft; they just like the output. 

### What feelings come up for you when you're answering these questions

Waves of impostor syndrome run through me. What am I doing tying to expand this? But I know, I love the craft of what I am doing and want to do more and hopefully help other people.




@terryhwang @leulshewangizaw @miaali @homeroom5",0,1,https://fr3.akimbo.com/t/craftsmanship-going-deeper/28109/1,2020-04-09T01:50:18.299Z
It's not coaching....,Lesson 1. Avoiding the race to the bottom,No,"[quote=""miaali, post:1, topic:27583""]
They’re cheaper because they are selling a service, not a solution – and that leads the client to undervalue the service and to see it as something they might need once or twice…not an ongoing partnership that can grow as they grow.
[/quote]

Hey @miaali  very well put. 

--Thank you!",1,0,https://fr3.akimbo.com/t/its-not-coaching/27583/15,2020-04-09T01:54:16.201Z
Don't overthink....,Lesson 4. Five levels of freelancers,No,"Hi, @shelleyrandles  I looked at your website to understand more about your work. Great sight by the way. 

I was able to get into college and do well  grade wise but I did not know how to be in college and this is common for some students. Are you able to provide coaching after they are admitted to their college. 
Is this a route to be unique and remarkable?",0,0,https://fr3.akimbo.com/t/dont-overthink/28386/4,2020-04-09T21:33:17.281Z
RE: Craftsmanship--going deeper,-,Yes,"Hi Lisa!

Thanks for reaching out and your kind words. I  took a look at your website and very intrigued  in the work you are doing. One thing I have not shared is that my full time job involves managing a program for Veterans that involves medical claims to the Veteran's Administration. 

Definitely interested in any partnerships when you think there may be a match. 

Are you thinking of doing any coworking groups?",0,1,https://fr3.akimbo.com/t/re-craftsmanship-going-deeper/28427/2,2020-04-10T01:33:25.705Z
